,99.6181855002,98.8990763162,99.927605973,99.8456204361,99.8116974867,90.4405873894,99.5673367133,90.1989092573,99.5755625636
99.8237405163,,98.9094364099,99.9301746076,99.7578854616,99.952072127,91.1075027607,99.6076562144,90.8549802577,99.6408003856
99.8936005324,99.5247467366,,99.8467119515,99.7237253996,99.8643475668,99.0336566277,99.914971199,98.5149132394,98.7616568552
99.8827553413,99.7205641352,98.9893337443,,99.913824181,99.9238446534,90.6484116617,99.564858817,90.4438464159,99.6877902626
99.8543415535,99.8881646328,98.7939361112,99.8932851593,,99.8557948638,91.4601009282,99.7143811933,91.2436254376,99.5442996689
99.9362127835,99.7277553479,98.9335666983,99.9614173367,99.9241590006,,99.0348966744,99.9399338789,98.6719341825,99.6321836612
99.0679161166,98.7604175933,89.0050716646,98.9670501392,98.9234718915,90.6918164338,,91.239007135,99.4871201307,89.7211724499
99.980810057,99.6405401306,98.4296936895,99.931752807,99.856485974,99.5680603679,99.0602664008,,98.5857329353,99.2484413179
98.6286059831,98.579038128,88.7782334181,98.7082373446,98.6690483886,90.4330891501,99.9496282472,90.9985731322,,89.4943779538
99.8646622269,99.7929629366,99.758309398,99.9404399988,99.9483175538,99.9182307438,98.978892482,99.8749974633,98.7370831282,
